/file/	C:\Users\Федор\Desktop\Ю4-6_ЭН\Ю4-6_РД_ЭН_План наружного освещения.dwg
//HANDLE	NAME_BLOCK	NAME_INSIDE	LAYER	POINT	ANGLE	Массштаб	Distance1	Angle1	Position1 X	Position1 Y	H_Text	Angle2	N_PYLON	GROUP	POWER	TYPE	NAME	MANUFACTURER	SPECIFICATION_SECTION
38A42	опора_промежуточная 0.4	*U71	ЭО_Пл_Опора	(1.03171e+008 1.04982e+008 0.0)	0	1:500	625.0	3.14159	940.984	-2829.5	1500.0	0.100158	N2_67				опора		
38A0E	опора_промежуточная 0.4	*U73	ЭО_Пл_Опора	(1.03157e+008 1.04999e+008 0.0)	0	1:500	625.0	0.086711	1206.67	-524.879	1500.0	0.100158	N2_68				опора		
389F4	опора_промежуточная 0.4	*U72	ЭО_Пл_Опора	(1.03172e+008 1.05029e+008 0.0)	0	1:500	625.0	3.14159	1397.74	-1162.47	1500.0	0.100158	N2_69				опора		
37C02	опора_промежуточная 0.4	*U68	ЭО_Пл_Опора	(1.03236e+008 1.0508e+008 0.0)	0	1:500	625.0	3.14159	-1642.25	-2271.4	1500.0	0.100158	N2_52				опора		
37BB4	опора_промежуточная 0.4	*U67	ЭО_Пл_Опора	(1.03238e+008 1.05005e+008 0.0)	0	1:500	625.0	3.14159	-863.635	-2594.15	1500.0	0.100158	N2_54				опора		
37B9A	опора_промежуточная 0.4	*U66	ЭО_Пл_Опора	(1.03261e+008 1.05005e+008 0.0)	0	1:500	625.0	3.14159	1328.1	394.219	1500.0	0.100158	N2_53				опора		
37B80	опора_промежуточная 0.4	*U65	ЭО_Пл_Опора	(1.03289e+008 1.05103e+008 0.0)	0	1:500	625.0	3.14159	2688.66	30.2909	1500.0	0.100158	N2_50				опора		
37A28	опора_промежуточная 0.4	*U64	ЭО_Пл_Опора	(1.03303e+008 1.05034e+008 0.0)	0	1:500	625.0	3.14159	539.371	925.388	1500.0	0.100158	N2_46				опора		
37A0E	опора_промежуточная 0.4	*U79	ЭО_Пл_Опора	(1.03293e+008 1.05005e+008 0.0)	0	1:500	625.0	3.14159	2281.21	-1770.61	1500.0	0.100158	N2_45				опора		
379F4	опора_промежуточная 0.4	*U63	ЭО_Пл_Опора	(1.03329e+008 1.05005e+008 0.0)	0	1:500	625.0	3.14159	1860.12	725.728	1500.0	0.100158	N2_39				опора		
