/file/	C:\Users\Федор\Desktop\Ю4-6_ЭН\Пример плана Ю4-6_Э1.dwg
//HANDLE	NAME_BLOCK	NAME_INSIDE	LAYER	POINT	ANGLE	Массштаб	Distance1	Angle1	Position1 X	Position1 Y	H_Text	Angle2	N_PYLON	GROUP	POWER	TYPE	NAME	MANUFACTURER	SPECIFICATION_SECTION
EC621	ЭО_Опора_1_свет	*U78	ЭО_Пл_Светильники	(1.03253e+008 1.04904e+008 0.0)	0	1:500	625.0	0.657168	1500.0	791.726	610.877	138.218	2297.24					Светотехническое оборудование	60Вт
EA759	ЭО_Опора_1_свет	*U135	ЭО_Пл_Светильники	(1.03417e+008 1.04702e+008 0.0)	0	1:500	625.0	3.87387	1500.0	-743.651	-668.568	-5447.71	-3954.3					Светотехническое оборудование	60Вт
EA73D	ЭО_Опора_1_свет	*U134	ЭО_Пл_Светильники	(1.03417e+008 1.04702e+008 0.0)	0	1:500	625.0	5.45704	1500.0	677.719	-735.321	510.782	-4004.99					Светотехническое оборудование	60Вт
EA721	ЭО_Опора_1_свет	*U131	ЭО_Пл_Светильники	(1.03434e+008 1.04714e+008 0.0)	0	1:500	625.0	5.34492	1500.0	591.184	-806.537	-1161.85	-4113.66					Светотехническое оборудование	60Вт
EA705	ЭО_Опора_1_свет	*U131	ЭО_Пл_Светильники	(1.03451e+008 1.04726e+008 0.0)	0	1:500	625.0	5.34492	1500.0	591.184	-806.537	-1161.85	-4113.66					Светотехническое оборудование	60Вт
EA5A3	ЭО_Опора_1_свет	*U131	ЭО_Пл_Светильники	(1.03468e+008 1.04739e+008 0.0)	0	1:500	625.0	5.34492	1500.0	591.184	-806.537	-1161.85	-4113.66					Светотехническое оборудование	60Вт
EA587	ЭО_Опора_1_свет	*U132	ЭО_Пл_Светильники	(1.03468e+008 1.04739e+008 0.0)	0	1:500	625.0	0.608766	1500.0	820.355	571.855	-106.445	1787.01					Светотехническое оборудование	80Вт
EA4E4	ЭО_Опора_1_свет	*U129	ЭО_Пл_Светильники	(1.03458e+008 1.04753e+008 0.0)	0	1:500	625.0	0.608766	1500.0	820.355	571.855	2347.52	-1461.63					Светотехническое оборудование	80Вт
EA4C8	ЭО_Опора_1_свет	*U123	ЭО_Пл_Светильники	(1.03382e+008 1.04744e+008 0.0)	0	1:500	625.0	3.77319	1500.0	-807.086	-590.434	-4018.71	-3365.82					Светотехническое оборудование	80Вт
EA12D	ЭО_Опора_1_свет	*U121	ЭО_Пл_Светильники	(1.03399e+008 1.04723e+008 0.0)	0	1:500	625.0	3.79908	1500.0	-791.531	-611.129	-4111.83	-3485.95					Светотехническое оборудование	60Вт
